#Rank,University,Town,org_id
279,Iran University of Industries and Mines,Tehran,
280,Islamic Azad university Kashmar Branch,Kashmar,
280,"Islamic Azad University, Baft",Baft,
282,"Islamic Azad University, Izeh",Izeh,
283,"Islamic Azad University, Bandar Gaz",Bandar Gaz,
284,Shiraz University of Applied Science and Technology,Shiraz,
285,Golbahar University of Science and New Technology,Mashhad,
286,"Islamic Azad University, Andimeshk",Andimeshk,
287,"Islamic Azad University, Dehloran",Dehloran,
287,"Islamic Azad University, Anar",Anar,
287,"Islamic Azad University, Ardestan",Ardestan,
290,Higher Education Complex of Zarand,Zarand,
291,Ahlul Bayt International University,Tehran,
292,Nahavand University,Nahavand,
293,"Islamic Azad University, Komijan",Komijan,
294,"Islamic Azad University, Ferdows",Ferdows,
294,"Islamic Azad University, Ajabshir",Ajabshir,
296,"Islamic Azad University, Osku",Osku,
297,"Islamic Azad University, Zarand",Zarand,
298,"Islamic Azad University, Parsabad Moghan",Parsabad,
299,Islamic Azad University of Golpayegan,Golpayegan,
300,University of Garmsar,Garmsar,
301,Isfahan Institute of Higher Education,Isfahan,
302,"Islamic Azad University, Aligudarz",Aligoodarz,
302,"Islamic Azad University, Ardakan",Ardakan,
304,"Islamic Azad University, Ramhormoz",Ramhormoz,
305,"Islamic Azad University, Hashtrood",Hashtrood,
306,Jami Institute of Technology,Najafabad,
307,Hazrat-e Narjes University of Rafsanjan,Rafsanjan,
308,"Islamic Azad University, Abarkouh",Abarkuh,
309,Iran Informatic Institute,Tehran,
Un,Sabzevar University of New Technologies,Sabzevar,
Un,Shahid Sattari University of Aeronautical Engineering,Tehran,
Legend: Un Unranked,Legend: Un Unranked,Add University,
